name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_116,"[OX2,OX1-][OX2,OX1-]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_117,"[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_118,"[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_119,[S-][CX3](=S)[#6],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_120,S([#6])[CX3](=O)[#6],0.16666666666666666,0.2222222222222222,0.7757201646090535,9,5
daylight_examples.smarts_121,[#6X3](=[SX1])([!N])[!N],0.14285714285714285,0.23809523809523808,0.7795414462081128,7,4
daylight_examples.smarts_122,[SX2],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_123,[#16X2H],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_124,[#16!H0],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_125,[NX3][CX3]=[SX1],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_126,[#16X2H0],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_127,[#16X2H0][!#16],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_128,[#16X2H0][#16X2H0],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_129,[#16X2H0][!#16].[#16X2H0][!#16],0.16666666666666666,0.0,0.8271604938271604,6,4
daylight_examples.smarts_130,"[$([#16X3](=[OX1])[OX2H0]),$([#16X3+]([OX1-])[OX2H0])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_131,"[$([#16X3](=[OX1])[OX2H,OX1H0-]),$([#16X3+]([OX1-])[OX2H,OX1H0-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_132,"[$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_133,"[$([#16X4](=[OX1])(=[OX1])([#6])[#6]),$([#16X4+2]([OX1-])([OX1-])([#6])[#6])]",0.0,0.6666666666666666,0.0,1,1
