atlas_id,name,type,S_k,S_t,S_e,trit_depth,gateway_trit,n_oscillators
FP_0242,daylight_examples.smarts_250,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0243,daylight_examples.smarts_251,molecular,0.16666666666666666,0.2222222222222222,0.7757201646090535,9.0,2.0,
FP_0244,daylight_examples.smarts_252,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0245,daylight_examples.smarts_253,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0246,daylight_examples.smarts_254,molecular,0.09090909090909091,0.522384337199152,0.6178451178451179,11.0,2.0,
FP_0247,daylight_examples.smarts_255,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0248,daylight_examples.smarts_256,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,2.0,
FP_0249,daylight_examples.smarts_257,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,2.0,
FP_0250,daylight_examples.smarts_258,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0251,daylight_examples.smarts_259,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0252,daylight_examples.smarts_260,molecular,0.0,0.7489711934156378,0.0,5.0,1.0,
FP_0253,daylight_examples.smarts_261,molecular,0.0625,0.6249957662280479,0.5069444444444444,16.0,0.0,
FP_0254,daylight_examples.smarts_262,molecular,0.0625,0.5937457662280479,0.5752314814814814,16.0,2.0,
FP_0255,daylight_examples.smarts_263,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0256,daylight_examples.smarts_264,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0257,daylight_examples.smarts_265,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
SP_0000,UV_Vis_1.csv,uv_vis,0.9387367019180289,1.0,0.13748364464723636,,,4.0
SP_0001,214.csv,chromatogram,2.0159133970715933e-20,2.0159133970715927e-20,0.37447439956183226,,,20.0
SP_0002,280.csv,chromatogram,2.0159133970715933e-20,2.0159133970715927e-20,0.37447439956183226,,,20.0
SP_0003,300.csv,chromatogram,2.0159133970715933e-20,2.0159133970715927e-20,0.37447439956183226,,,20.0
SP_0004,400.csv,chromatogram,2.0159133970715933e-20,2.0159133970715927e-20,0.37447439956183226,,,20.0
